 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
14,Toronto Raptors,4,0,4,.000,49.3,96.3,36.8,88.3,41.6,7.5,25.0,30.0,15.3,21.3,71.8,8.8,29.8,38.5,19.5,12.0,7.5,2.3,6.5,25.0,20.5,-14.0,2015
1,Miami Heat,4,4,0,1.000,48.0,101.8,36.3,76.0,47.7,9.5,22.0,43.2,19.8,26.0,76.0,5.3,31.5,36.8,21.0,10.5,7.3,4.5,4.5,19.8,20.3,9.8,2014
2,Washington Wizards,5,4,1,.800,49.0,94.6,35.2,80.0,44.0,6.2,16.2,38.3,18.0,25.6,70.3,11.4,31.6,43.0,20.4,10.4,8.2,6.6,4.4,22.2,22.0,4.6,2014
3,Portland Trail Blazers,6,4,2,.667,50.5,111.7,39.8,87.8,45.4,9.3,25.7,36.4,22.7,28.2,80.5,12.2,30.5,42.7,18.5,11.8,7.3,9.2,5.0,24.8,26.0,-0.3,2014
4,Brooklyn Nets,7,4,3,.571,48.0,97.7,34.6,75.0,46.1,6.7,22.1,30.3,21.9,29.4,74.3,9.4,27.7,37.1,18.3,11.7,8.4,3.6,3.0,24.1,25.9,1.6,2014
4,Indiana Pacers,7,4,3,.571,48.0,93.4,34.4,76.6,45.0,7.7,21.3,36.2,16.9,22.7,74.2,9.4,35.6,45.0,20.4,14.9,8.0,6.3,4.6,22.6,20.9,1.0,2014
4,LA Clippers,7,4,3,.571,48.0,110.9,38.7,82.3,47.0,9.6,26.3,36.4,23.9,32.0,74.6,11.4,29.6,41.0,23.7,14.3,10.1,5.1,4.6,23.0,25.3,4.4,2014
4,Oklahoma City Thunder,7,4,3,.571,50.9,102.1,36.1,83.1,43.5,8.0,24.7,32.4,21.9,25.9,84.5,13.4,34.7,48.1,18.6,15.6,6.0,7.6,2.4,23.0,20.9,5.4,2014
4,San Antonio Spurs,7,4,3,.571,48.0,103.1,38.6,77.6,49.7,7.0,18.3,38.3,19.0,25.4,74.7,8.9,32.7,41.6,19.9,13.7,7.1,3.6,4.1,19.6,20.3,2.0,2014
9,Atlanta Hawks,7,3,4,.429,48.0,92.4,30.3,78.7,38.5,11.3,32.9,34.3,20.6,24.9,82.8,9.1,30.1,39.3,16.9,13.6,6.6,4.6,6.3,20.9,22.6,-1.0,2014
9,Dallas Mavericks,7,3,4,.429,48.0,101.1,39.1,86.7,45.1,8.4,22.4,37.6,14.4,18.9,76.5,11.7,29.0,40.7,19.1,11.4,6.6,4.1,3.6,20.3,19.6,-2.0,2014
9,Golden State Warriors,7,3,4,.429,48.0,106.4,38.3,83.1,46.0,9.6,26.3,36.4,20.3,27.9,72.8,13.1,29.6,42.7,24.4,17.3,7.0,4.6,5.1,25.3,23.0,-4.4,2014
9,Memphis Grizzlies,7,3,4,.429,50.9,96.7,36.7,88.1,41.7,4.4,15.3,29.0,18.9,25.9,72.9,12.9,29.9,42.7,21.7,11.1,9.0,2.4,7.6,20.9,23.0,-5.4,2014
9,Toronto Raptors,7,3,4,.429,48.0,96.1,32.7,74.1,44.1,6.6,21.0,31.3,24.1,29.0,83.3,10.1,31.6,41.7,17.7,15.3,5.6,3.0,3.6,25.9,24.1,-1.6,2014
14,Houston Rockets,6,2,4,.333,50.5,112.0,40.8,91.7,44.5,8.2,25.7,31.8,22.2,29.8,74.3,16.7,32.5,49.2,18.3,13.8,6.0,5.0,9.2,26.0,24.8,0.3,2014
15,Chicago Bulls,5,1,4,.200,49.0,90.0,33.2,78.6,42.2,6.4,19.2,33.3,17.2,22.8,75.4,12.2,29.6,41.8,20.2,13.2,5.0,4.4,6.6,22.0,22.2,-4.6,2014
16,Charlotte Hornets,4,0,4,.000,48.0,92.0,33.8,75.3,44.9,7.8,21.3,36.5,16.8,23.5,71.3,8.3,31.5,39.8,19.8,15.0,4.3,4.5,4.5,20.3,19.8,-9.8,2014
1,Miami Heat,4,4,0,1.000,48.0,100.0,37.0,74.5,49.7,7.0,21.8,32.2,19.0,25.8,73.8,10.8,32.8,43.5,23.5,17.0,9.3,4.3,2.5,20.3,19.8,14.8,2013
1,San Antonio Spurs,4,4,0,1.000,48.0,104.0,41.3,84.0,49.1,6.0,17.0,35.3,15.5,19.3,80.5,8.8,33.5,42.3,23.8,10.0,10.3,5.0,5.3,18.0,17.5,18.8,2013
3,Golden State Warriors,6,4,2,.667,48.0,107.2,40.2,81.3,49.4,9.8,24.3,40.4,17.0,21.7,78.5,10.0,33.2,43.2,23.8,18.7,6.5,6.7,2.8,23.5,23.2,4.2,2013
3,Indiana Pacers,6,4,2,.667,48.0,94.5,32.8,79.2,41.5,6.3,21.0,30.2,22.5,28.7,78.5,12.8,36.5,49.3,19.7,15.5,6.8,4.8,3.8,23.8,24.2,5.2,2013
3,Memphis Grizzlies,6,4,2,.667,48.0,100.2,34.8,76.2,45.7,4.3,13.3,32.5,26.2,34.3,76.2,10.3,27.5,37.8,21.2,10.3,6.5,4.2,5.7,23.8,27.8,5.5,2013
3,New York Knicks,6,4,2,.667,48.8,87.7,33.0,80.2,41.2,8.0,24.0,33.3,13.7,18.2,75.2,10.5,31.8,42.3,15.0,12.8,10.3,4.3,3.0,21.3,18.8,5.3,2013
3,Oklahoma City Thunder,6,4,2,.667,48.0,105.8,37.2,82.7,45.0,10.2,28.3,35.9,21.3,25.2,84.8,9.7,32.8,42.5,20.2,12.8,7.8,7.3,5.5,24.7,23.2,5.8,2013
8,Chicago Bulls,7,4,3,.571,50.1,97.4,39.3,83.7,46.9,4.6,15.0,30.5,14.3,20.6,69.4,10.7,31.0,41.7,21.4,13.1,6.0,5.7,5.6,21.7,19.9,-2.0,2013
9,Brooklyn Nets,7,3,4,.429,50.1,99.4,37.0,83.7,44.2,6.1,19.4,31.6,19.3,25.4,75.8,11.7,30.4,42.1,19.9,11.6,6.3,5.6,5.7,19.9,21.7,2.0,2013
